a-34.865542,-58.408072{Microbasural: Arroyo del Rey I}<yellow-dot>
-34.719256,-58.630725{Punto de arrojo: Garcia Merou}<tan-dot>
-34.786286,-58.606572{Punto de arrojo: Garmendia}<tan-dot>
-34.69985,-58.518792{Microbasural: Gorriti}<yellow-dot>
-34.729028,-58.510694{Basural: Granja Don Oscar}<orange-dot>
-34.783883,-58.645886{Punto de arrojo: Haiti}<tan-dot>
-34.769367,-58.634542{Punto de arrojo: Inca}<tan-dot>
-34.727083,-58.578889{Punto de arrojo: Isidro Casanova}<tan-dot>
-34.736028,-58.621489{Microbasural: La Bastilla}<yellow-dot>
-34.687617,-58.598236{Punto de arrojo: La Paz}<tan-dot>
-34.711244,-58.467814{Microbasural: La Ribera}<yellow-dot>
-34.709997,-58.620569{Microbasural: Lacar}<yellow-dot>
-34.703217,-58.597053{Microbasural: Larsen}<yellow-dot>
-34.707911,-58.489086{Microbasural: Las Achiras}<yellow-dot>
-34.719303,-58.550389{Microbasural: Las Camelias I}<yellow-dot>
-34.716636,-58.552492{Microbasural: Las Camelias II}<yellow-dot>
-34.718189,-58.552664{Punto de arrojo: Las Camelias III}<tan-dot>
-34.741756,-58.637308{Microbasural: Lavalleja I}<yellow-dot>
-34.750111,-58.646697{Microbasural: Lavalleja II}<yellow-dot>
-34.836028,-58.643597{Punto de arrojo: Madreselva}<tan-dot>
-34.776786,-58.621897{Microbasural: Magnasco}<yellow-dot>
-34.838981,-58.639953{Punto de arrojo: Maranta}<tan-dot>
-34.736542,-58.561767{Microbasural: Marconi I}<yellow-dot>
-34.733258,-58.565889{Microbasural: Marconi II}<yellow-dot>
-34.728847,-58.484533{Microbasural: Matanza}<yellow-dot>
-34.841092,-58.637383{Punto de arrojo: Mimbrera}<tan-dot>
-34.830697,-58.628731{Punto de arrojo: Molina}<tan-dot>
-34.778611,-58.619753{Punto de arrojo: Monseñor Lopez}<tan-dot>
-34.734611,-58.63975{Microbasural: Norquin}<yellow-dot>
-34.727775,-58.567839{Punto de arrojo: Obligado}<tan-dot>
-34.844161,-58.633539{Punto de arrojo: Parnaso}<tan-dot>
-34.691119,-58.509472{Microbasural: Pedro de Mendoza}<yellow-dot>
-34.706136,-58.567731{Punto de arrojo: Peribebuy}<tan-dot>
-34.717136,-58.634764{Basural: Polledo}<orange-dot>
-34.776883,-58.650567{Punto de arrojo: Posamay}<tan-dot>
-34.731761,-58.651553{Basural: Predio Cespedes I}<orange-dot>
-34.731075,-58.653019{Basural: Predio Cespedes II}<orange-dot>
-34.721058,-58.479044{Microbasural: Predio La Salada}<yellow-dot>
-34.903828,-58.680006{Microbasural: Predio Palermo}<yellow-dot>
-34.726419,-58.507106{Punto de arrojo: Puente 12}<tan-dot>
-34.724108,-58.597489{Punto de arrojo: Puna}<tan-dot>
-34.836864,-58.642547{Punto de arrojo: Racunda}<tan-dot>
-34.709444,-58.473889{Basural: Ramon Carrillo}<orange-dot>
-34.743028,-58.609725{Punto de arrojo: Recuero I}<tan-dot>
-34.748175,-58.603578{Microbasural: Recuero II}<yellow-dot>
-34.7473,-58.633319{Punto de arrojo: Riglos}<tan-dot>
-34.718564,-58.547747{Microbasural: Roggio}<yellow-dot>
-34.702928,-58.486656{Punto de arrojo: Roosevelt}<tan-dot>
-34.720669,-58.538047{Microbasural: Rotonda Querandi}<yellow-dot>
-34.726042,-58.575911{Punto de arrojo: Ruiz de los Llanos}<tan-dot>
-34.748378,-58.663997{Punto de arrojo: Ruta 1001 (Matanza)}<tan-dot>
-34.82545,-58.643164{Microbasural: Ruta 3}<yellow-dot>
-34.7748,-58.597636{Punto de arrojo: San Cayetano}<tan-dot>
-34.696092,-58.498458{Microbasural: San Martin}<yellow-dot>
-34.733972,-58.647372{Punto de arrojo: San Matias}<tan-dot>
-34.785306,-58.64625{Punto de arrojo: Scarlatti}<tan-dot>
-34.754342,-58.588022{Punto de arrojo: Spiro}<tan-dot>
-34.768228,-58.577517{Microbasural: Teuco}<yellow-dot>
-34.69065,-58.492683{Microbasural: Thompson}<yellow-dot>
-34.767728,-58.6378{Punto de arrojo: Tinogasta}<tan-dot>
-34.778814,-58.648078{Punto de arrojo: Totoral}<tan-dot>
-34.768317,-58.57645{Basural: Tuyu}<orange-dot>
-34.718469,-58.59315{Microbasural: Urdaneta}<yellow-dot>
-34.782792,-58.61225{Punto de arrojo: Varela}<tan-dot>
-34.7757,-58.624533{Punto de arrojo: Velazco}<tan-dot>
-34.801169,-58.613681{Basural: Vicente Ibañez}<orange-dot>
-34.698639,-58.554889{Basural: Villa Palito}<orange-dot>
-34.750072,-58.629289{Microbasural: Virgenes}<yellow-dot>
-34.858675,-58.6378{Punto de arrojo: Virrey del Pino}<tan-dot>
-34.704061,-58.610078{Microbasural: Vogel}<yellow-dot>
-34.832994,-58.647275{Punto de arrojo: Wast}<tan-dot>
-34.690789,-58.441056{Microbasural: ACUBA}<yellow-dot>
-34.663522,-58.420239{Microbasural: Bacara}<yellow-dot>
-34.671378,-58.420267{Punto de arrojo: Callao}<tan-dot>
-34.688531,-58.446294{Microbasural: Camino de la Ribera Sur}<yellow-dot>
-34.671092,-58.418922{Microbasural: Darragueira I}<yellow-dot>
-34.673753,-58.422581{Punto de arrojo: Darregueira II}<tan-dot>
-34.672378,-58.396739{Microbasural: Guatemala}<yellow-dot>
-34.67295,-58.42175{Punto de arrojo: Millan I}<tan-dot>
-34.672289,-58.422247{Punto de arrojo: Millan II}<tan-dot>
-34.668942,-58.42255{Punto de arrojo: Nidera}<tan-dot>
-34.669608,-58.419025{Punto de arrojo: Obon y la via}<tan-dot>
-34.670972,-58.423978{Punto de arrojo: Obon y Millan}<tan-dot>
-34.667633,-58.418686{Punto de arrojo: Pampa y la via}<tan-dot>
-34.675364,-58.423972{Punto de arrojo: Sayos y la via}<tan-dot>
-34.688025,-58.397133{Punto de arrojo: Veracruz}<tan-dot>
-34.699875,-58.431953{Punto de arrojo: Villa Caraza}<tan-dot>
-34.673097,-58.43315{Punto de arrojo: Villa Jardin}<tan-dot>
-34.694,-58.450778{Punto de arrojo: Villegas}<tan-dot>
-34.718314,-58.438994{Microbasural: Barrio La Cava}<yellow-dot>
-34.736528,-58.482014{Punto de arrojo: Barrio Olimpo I}<tan-dot>
-34.711831,-58.445856{Punto de arrojo: Barrio Olimpo II}<tan-dot>
-34.708817,-58.446275{Microbasural: Barrio Roberto Arlt}<yellow-dot>
-34.721992,-58.445892{Punto de arrojo: Bajada a colectora de Peron}<tan-dot>
-34.718644,-58.448756{Punto de arrojo: Canada}<tan-dot>
-34.758967,-58.470581{Microbasural: Chancheria Lomas}<yellow-dot>
-34.692933,-58.449622{Punto de arrojo: Conesa}<tan-dot>
-34.727961,-58.483578{Microbasural: Desembocadura Arroyo Catalina}<yellow-dot>
-34.714328,-58.441289{Punto de arrojo: Diagonal Pasaje Roberto Arlt}<tan-dot>
-34.720822,-58.47645{Punto de arrojo: Euskadi}<tan-dot>
-34.703422,-58.450694{Basural: Galasso}<orange-dot>
-34.721675,-58.477497{Punto de arrojo: Goiri}<tan-dot>
-34.689908,-58.447444{Punto de arrojo: Hornos}<tan-dot>
-34.734792,-58.459453{Basural: Itati}<orange-dot>
-34.816086,-58.430717{Microbasural: Lavallol}<yellow-dot>
-34.717256,-58.472489{Punto de arrojo: Lavarden}<tan-dot>
-34.751983,-58.439603{Punto de arrojo: Luis Viale}<tan-dot>
-34.733664,-58.475439{Punto de arrojo: Manzini}<tan-dot>
-34.695111,-58.449456{Microbasural: Meandro Arroyo Unamuno}<yellow-dot>
-34.740564,-58.485411{Punto de arrojo: Millan fondo}<tan-dot>
-34.720272,-58.475858{Punto de arrojo: Otto Krausse}<tan-dot>
-34.759614,-58.470917{Microbasural: Peñaloza}<yellow-dot>
-34.71455,-58.445947{Punto de arrojo: Pio Baroja}<tan-dot>
-34.715206,-58.44825{Microbasural: Predio Arce}<yellow-dot>
-34.730342,-58.487092{Punto de arrojo: Predio Ponds}<tan-dot>
-34.751794,-58.479514{Punto de arrojo: Puente Colon}<tan-dot>
-34.717328,-58.449572{Punto de arrojo: Quesada}<tan-dot>
-34.714267,-58.447472{Microbasural: Santuario}<yellow-dot>
-34.727733,-58.4839{Punto de arrojo: Tramo final Arroyo Santa Catalina}<tan-dot>
-34.718947,-58.474394{Punto de arrojo: Virgilio}<tan-dot>
-34.789561,-58.854944{Punto de arrojo: Cementerio}<tan-dot>
-34.837825,-58.835728{Macrobasural: Marcos Paz I}<default-dot>
-34.808622,-58.810586{Basural: Marcos Paz II}<orange-dot>
-34.708114,-58.688136{Microbasural: Jufre}<yellow-dot>
-34.725542,-58.659528{Punto de arrojo: Merlo}<tan-dot>
-34.740886,-58.679756{Microbasural: Montes de Oca}<yellow-dot>
-34.700825,-58.658875{Punto de arrojo: Naciente Arroyo Moron}<tan-dot>
-34.753869,-58.680092{Punto de arrojo: Paz Roldan}<tan-dot>
-34.748625,-58.663978{Punto de arrojo: Ruta 1001 (Merlo)}<tan-dot>
-34.716753,-58.710858{Punto de arrojo: Santa Monica}<tan-dot>
-34.706733,-58.685411{Microbasural: Triunvirato}<yellow-dot>
-34.701806,-58.639797{Microbasural: Santa Rosa}<yellow-dot>
